状态,序号,所属模块,物料名称,规格型号/核心指标,数量,预估单价(元),淘宝/1688推荐搜索词,推荐店铺/货源,采购避坑与核验要点
未采购,1,大脑感知,ESP32-S3-CAM开发板,N16R8(16MB Flash+8MB PSRAM) Type-C接口,1,45,ESP32-S3-CAM N16R8,深圳安信可/优信电子/普林芯驰,必须认准N16R8标注，否则大模型固件内存溢出
未采购,2,视觉眼睛,加长版OV2640摄像头,75mm长度 24Pin 0.5mm 120度广角,1,10,OV2640 75mm 24pin 120度,各大摄像头模组店,必须选75mm黄金长度，120度广角视线追踪视野大
未采购,3,情绪显示,0.96寸I2C OLED屏,SSD1306驱动 128x64 4Pin接口,1,9,0.96寸 OLED I2C SSD1306,中景园/优信电子,4Pin I2C接口，白光或蓝光均可
未采购,4,语音交互,INMP441数字麦克风,I2S全向数字麦克风模块,1,4.1,INMP441 模块 I2S,深圳信泰微电子(4000+付款),高信噪比，直出数字I2S流，背面需贴减震泡棉
未采购,5,音频输出,MAX98357A功放模块,D类I2S功放 (强烈推荐带PH1.25端子版),1,8.8,MAX98357A I2S 功放,深圳湘橙电子/优信电子,多花5元选带端子版！喇叭自带插头直插免飞线虚焊
未采购,6,音频发声,2030密封小音腔喇叭,4欧3W 带密封塑料音腔 尺寸20x30mm,2,2.2,2030 音腔喇叭 4欧3W,深圳扬声器工厂店,正好卡进狗头，4欧3W声音浑厚不破音，买2个备用
未采购,7,身体控制,STM32F103C8T6核心板,Cortex-M3 72MHz Type-C/Micro,1,15,STM32F103C8T6 最小系统板,各大单片机店铺,下位机专用，产生4路硬件PWM与四足步态解算
未采购,8,烧录工具,ST-Link V2下载器,金属铝壳迷你版 带4Pin杜邦线,1,12,ST-Link V2 下载器,信泰微/优信/RISYM,STM32固件下载与SWD调试工具
未采购,9,四足机械,SG90 9g微型舵机,标准180度旋转 塑料/尼龙齿轮,5,4.5,SG90 舵机 9g,TowerPro正规店/老牌模组店,极高性价比，单价仅4.5元，买5个(4个装机+1个备用防扫齿)
未采购,10,骨架结构,米士古开源腿3D打印件,包含4条腿部骨架与机身底板 PLA/树脂,1套,35,米士古 机械狗 3D打印,淘宝3D代打/立创三维,高韧性材质，四足尺寸与SG90完美契合
未采购,11,骨架结构,3M半球形橡胶脚垫,直径8mm~10mm 带背胶,1版,2,3M 半球形脚垫 8mm,五金辅料店,贴在4只脚底，桌面防滑并减缓落地冲击
未采购,12,供电系统,FP6277/FP6296升压板,5V 3A大电流同步整流升压板 Type-C充电,1,10,FP6277 升压模块 5V 3A,深圳升压模组专营店,核心避坑：严禁买FP6276(仅2A会跳闸)，必须买FP6277 3A
未采购,13,动力源,18650动力锂电池,3.7V 2500mAh 5C/8C高倍率 带保护板,1,11,18650 动力 2500mAh 带保护板,深圳廷杏科技/正号新能源/1688,认准5C/8C高倍率(持续12.5A+)，必须带双MOS保护板
未采购,14,滤波稳压,低ESR铝电解电容,1000uF / 16V 低阻抗电解电容,2,0.5,1000uF 16V 电解电容 低阻,电子元器件配套店,并联在舵机5V动力母线，吸收4舵机起步瞬态浪涌
未采购,15,线材辅料,28AWG特软硅胶线,多股镀锡铜特软耐折 红黑黄绿,1套,8,28AWG 特软硅胶线 红黑黄绿,特软线材店,狭小狗体内走线顺畅，柔软不卡舵机
未采购,16,线材辅料,5x7cm玻纤洞洞板+排针,单双面玻纤板 2.54mm排针排母,1套,5,5x7 玻纤板 2.54mm 排针排母,元器件杂货店,搭建舵机电源分流板与星形单点共地
未采购,17,防噪辅料,EVA减震吸音海绵垫,背胶单面海绵 2mm厚度,1小片,1,EVA 吸音海绵 单面胶 2mm,包装辅料店,贴在麦克风背面，阻断机械共振与电机传音
,,,合计预算约 165 ~ 174 元,,,,,,
